#PH    NORM     PD      PA
0.000  0.103    0.27    115
0.040  0.233    0.12    90
0.105  1.271    0.20    80
0.115  1.768    0.18    95
0.125  2.532    0.17    100
0.132  3.208    0.16    105
0.138  3.893    0.15    115
0.146  3.453    0.14    125
0.159  1.762    0.15    160
0.174  0.862    0.17    150
0.192  0.493    0.19    140
0.247  0.207    0.21    120
0.375  0.276    0.30    110
0.500  1.064    0.18    100
0.530  1.654    0.17    105
0.545  1.859    0.15    110
0.555  1.572    0.13    115
0.570  0.950    0.11    125
0.600  0.462    0.13    130
0.710  0.090    0.18    125
0.890  0.020    0.40    120
1.000  0.103    0.27    115
